id,cat,lvl,q,A,B,C,D,answer,explain
e211,education,3,,,,,,,
e212,education,3,,,,,,,
e213,education,3,,,,,,,
e214,education,3,,,,,,,
e215,education,3,,,,,,,
e216,education,3,,,,,,,
e217,education,3,,,,,,,
e218,education,3,,,,,,,
e219,education,3,,,,,,,
e220,education,3,,,,,,,
e221,education,3,,,,,,,
e222,education,3,,,,,,,
e223,education,3,,,,,,,
e224,education,3,,,,,,,
e225,education,3,,,,,,,
e226,education,3,,,,,,,
e227,education,3,,,,,,,
e228,education,3,,,,,,,
e229,education,3,,,,,,,
e230,education,3,,,,,,,
e231,education,3,,,,,,,
e232,education,3,,,,,,,
e233,education,3,,,,,,,
e234,education,3,,,,,,,
e235,education,3,,,,,,,
e236,education,3,,,,,,,
e237,education,3,,,,,,,
e238,education,3,,,,,,,
e239,education,3,,,,,,,
e240,education,3,,,,,,,
e241,education,3,,,,,,,
e242,education,3,,,,,,,
e243,education,3,,,,,,,
e244,education,3,,,,,,,
e245,education,3,,,,,,,
e246,education,3,,,,,,,
e247,education,3,,,,,,,
e248,education,3,,,,,,,
e249,education,3,,,,,,,
e250,education,3,,,,,,,
